SimTime	Autoindex	Register	Registerwert
23	2	CANvelocity	92.4677
23	2	CANlaneid	0
23	3	CANvelocity	78.1352
23	3	CANlaneid	0
23	4	CANvelocity	69.3952
23	4	CANlaneid	0
23	5	CANvelocity	53.577
23	5	CANlaneid	0
23	6	CANvelocity	42.1354
23	6	CANlaneid	0
23	7	CANvelocity	22.06
23	7	CANlaneid	0
23	8	CANvelocity	6.22731
23	8	CANlaneid	0
24	0	CANvelocity	117.213
24	0	CANlaneid	0
24	1	CANvelocity	106.91
24	1	CANlaneid	0
24	2	CANvelocity	95.8077
24	2	CANlaneid	0
24	3	CANvelocity	83.15
24	3	CANlaneid	0
24	4	CANvelocity	74.6882
24	4	CANlaneid	0
24	5	CANvelocity	60.4188
24	5	CANlaneid	0
24	6	CANvelocity	48.2672
24	6	CANlaneid	0
24	7	CANvelocity	26.9759
24	7	CANlaneid	0
24	8	CANvelocity	14.3803
24	8	CANlaneid	0
25	0	CANvelocity	117.657
25	0	CANlaneid	0
25	1	CANvelocity	109.924
25	1	CANlaneid	0
25	2	CANvelocity	99.1116
25	2	CANlaneid	0
25	3	CANvelocity	89.3834
25	3	CANlaneid	0
25	4	CANvelocity	79.2933
25	4	CANlaneid	0
25	5	CANvelocity	66.9315
25	5	CANlaneid	0
25	6	CANvelocity	53.7758
25	6	CANlaneid	0
25	7	CANvelocity	32.3394
25	7	CANlaneid	0
25	8	CANvelocity	21.5733
25	8	CANlaneid	0
25	9	CANvelocity	1.36303
25	9	CANlaneid	0
26	0	CANvelocity	117.565
26	0	CANlaneid	0
26	1	CANvelocity	114.352
26	1	CANlaneid	0
26	2	CANvelocity	102.818
26	2	CANlaneid	0
26	3	CANvelocity	92.7607
26	3	CANlaneid	0
26	4	CANvelocity	85.6165
26	4	CANlaneid	0
26	5	CANvelocity	73.4879
26	5	CANlaneid	0
26	6	CANvelocity	59.4143
26	6	CANlaneid	0
26	7	CANvelocity	40.3013
26	7	CANlaneid	0
26	8	CANvelocity	26.927
26	8	CANlaneid	0
26	9	CANvelocity	9.6544
26	9	CANlaneid	0
27	0	CANvelocity	117.606
27	0	CANlaneid	0
27	1	CANvelocity	119.006
27	1	CANlaneid	0
27	2	CANvelocity	106.99
27	2	CANlaneid	0
27	3	CANvelocity	97.2469
27	3	CANlaneid	0
27	4	CANvelocity	91.6272
27	4	CANlaneid	0
27	5	CANvelocity	79.3137
27	5	CANlaneid	0
27	6	CANvelocity	64.2757
27	6	CANlaneid	0
27	7	CANvelocity	45.152
27	7	CANlaneid	0
27	8	CANvelocity	35.2654
27	8	CANlaneid	0
27	9	CANvelocity	18.5907
27	9	CANlaneid	0
28	0	CANvelocity	118.373
28	0	CANlaneid	0
28	1	CANvelocity	119.396
28	1	CANlaneid	0
28	2	CANvelocity	109.944
28	2	CANlaneid	0
28	3	CANvelocity	102.692
28	3	CANlaneid	0
28	4	CANvelocity	96.7686
28	4	CANlaneid	0
28	5	CANvelocity	84.5298
28	5	CANlaneid	0
28	6	CANvelocity	69.3237
28	6	CANlaneid	0
28	7	CANvelocity	49.6374
28	7	CANlaneid	0
28	8	CANvelocity	39.6391
28	8	CANlaneid	0
28	9	CANvelocity	24.1896
28	9	CANlaneid	0
28	10	CANvelocity	3.94401
28	10	CANlaneid	0
29	0	CANvelocity	118.184
29	0	CANlaneid	0
29	1	CANvelocity	117.714
29	1	CANlaneid	0
29	2	CANvelocity	114.255
29	2	CANlaneid	0
29	3	CANvelocity	107.844
29	3	CANlaneid	0
29	4	CANvelocity	101.802
29	4	CANlaneid	0
29	5	CANvelocity	89.1863
29	5	CANlaneid	0
29	6	CANvelocity	75.7017
29	6	CANlaneid	0
